date,price,prev_position,new_position,position_change,trade_value_usd,trade_cost_usd,equity_before,daily_pnl,equity_after_trade,current_dd_pct,peak_equity,regime_trend,regime_volatility,regime_momentum,regime_mean_rev,regime_code,weighted_signal,BBSqueeze_signal,BBSqueeze_conf,BBSqueeze_reason,DonchianBreakout_signal,DonchianBreakout_conf,DonchianBreakout_reason,KeltnerBreakout_signal,KeltnerBreakout_conf,KeltnerBreakout_reason,Ichimoku_signal,Ichimoku_conf,Ichimoku_reason,ParabolicSAR_signal,ParabolicSAR_conf,ParabolicSAR_reason,TrendEnsemble_signal,TrendEnsemble_conf,TrendEnsemble_reason,RORO_signal,RORO_conf,RORO_reason,weight_changes,w_BBSqueeze,w_DonchianBreakout,w_KeltnerBreakout,w_Ichimoku,w_ParabolicSAR,w_TrendEnsemble,w_RORO
2000-11-10,60.6,0.0,-0.43,-0.43,214911.12,60.71,500000.0,0.0,499939.29,0.0,500000.0,STRONG_BEAR,CRISIS,DECELERATING,OVERSOLD,SDC-S,-0.43,-1,0.77,"Breakout DOWN, momentum=-2.31",-1,0.55,Break below 20d low=$61.66,0,0.3,"Within Keltner channel, EMA=$67.68",-1,0.8,"Below cloud, TK cross bearish, Tenkan=$65.83",-1,0.6,"Downtrend, SAR=$70.87, EP=$60.60",-1,1.0,"Trend DOWN, avg_signal=-1.00, agreement=1.00",0,1.0,"RISK-OFF, score=7/7, vol=63.5%",BBSqueeze: 25%->18%; DonchianBreakout: 25%->18%; KeltnerBreakout: 15%->10%; Ichimoku: 10%->7%; ParabolicSAR: 5%->3%; TrendEnsemble: 10%->7%; RORO: 10%->25% [CRISIS]; DonchianBreakout: 18%->14% [BEAR]; Ichimoku: 7%->6% [BEAR]; RORO: 25%->35%,0.189,0.152,0.114,0.061,0.03,0.076,0.379
2000-11-13,60.69,-0.43,0.0,0.43,214744.24,60.64,499611.75,-327.54,499551.11,0.08,500000.0,BEAR,CRISIS,DECELERATING,NEUTRAL,DC-N,-0.142,0,0.2,"No clear signal, momentum=-1.92",0,0.3,"Within channel, position=0.7%",0,0.3,"Within Keltner channel, EMA=$67.01",-1,0.8,"Below cloud, TK cross bearish, Tenkan=$64.36",-1,0.6,"Downtrend, SAR=$70.46, EP=$57.66",-1,1.0,"Trend DOWN, avg_signal=-1.00, agreement=1.00",0,1.0,"RISK-OFF, score=7/7, vol=63.4%",BBSqueeze: 25%->18%; DonchianBreakout: 25%->18%; KeltnerBreakout: 15%->10%; Ichimoku: 10%->7%; ParabolicSAR: 5%->3%; TrendEnsemble: 10%->7%; RORO: 10%->25% [CRISIS],0.199,0.199,0.119,0.08,0.04,0.08,0.284
2000-11-22,56.27,0.0,-0.432,-0.432,215699.37,62.31,499551.11,0.0,499488.8,0.09,500000.0,STRONG_BEAR,CRISIS,DECELERATING,OVERSOLD,SDC-S,-0.432,-1,0.66,"Breakout DOWN, momentum=-1.97",-1,0.56,Break below 20d low=$57.66,-1,0.7,"Below Keltner lower=$56.95, ATR=$3.36",-1,0.8,"Below cloud, TK cross bearish, Tenkan=$61.05",-1,0.6,"Downtrend, SAR=$65.77, EP=$56.17",-1,1.0,"Trend DOWN, avg_signal=-1.00, agreement=1.00",0,1.0,"RISK-OFF, score=7/7, vol=57.6%",BBSqueeze: 25%->18%; DonchianBreakout: 25%->18%; KeltnerBreakout: 15%->10%; Ichimoku: 10%->7%; ParabolicSAR: 5%->3%; TrendEnsemble: 10%->7%; RORO: 10%->25% [CRISIS]; DonchianBreakout: 18%->14% [BEAR]; Ichimoku: 7%->6% [BEAR]; RORO: 25%->35%,0.189,0.152,0.114,0.061,0.03,0.076,0.379
2000-11-24,59.49,-0.432,0.0,0.432,210343.57,59.75,487147.28,-12341.52,487087.53,2.57,500000.0,STRONG_BEAR,CRISIS,DECELERATING,OVERSOLD,SDC-S,-0.142,0,0.2,"No clear signal, momentum=-1.09",0,0.3,"Within channel, position=22.3%",0,0.3,"Within Keltner channel, EMA=$63.28",-1,0.8,"Below cloud, TK cross bearish, Tenkan=$61.05",-1,0.6,"Downtrend, SAR=$65.39, EP=$56.17",-1,1.0,"Trend DOWN, avg_signal=-1.00, agreement=1.00",0,1.0,"RISK-OFF, score=7/7, vol=60.9%",BBSqueeze: 25%->18%; DonchianBreakout: 25%->18%; KeltnerBreakout: 15%->10%; Ichimoku: 10%->7%; ParabolicSAR: 5%->3%; TrendEnsemble: 10%->7%; RORO: 10%->25% [CRISIS]; DonchianBreakout: 18%->14% [BEAR]; Ichimoku: 7%->6% [BEAR]; RORO: 25%->35%,0.189,0.152,0.114,0.061,0.03,0.076,0.379
2000-11-28,55.28,0.0,-0.468,-0.468,228038.85,66.23,487087.53,0.0,487021.3,2.58,500000.0,STRONG_BEAR,CRISIS,DECELERATING,OVERSOLD,SDC-S,-0.468,-1,0.56,"Breakout DOWN, momentum=-1.68",-1,0.54,Break below 20d low=$56.17,-1,0.7,"Below Keltner lower=$55.58, ATR=$3.27",-1,0.8,"Below cloud, TK cross bearish, Tenkan=$60.55",-1,0.6,"Downtrend, SAR=$64.66, EP=$55.16",-1,1.0,"Trend DOWN, avg_signal=-1.00, agreement=1.00",0,1.0,"RISK-OFF, score=7/7, vol=62.9%",BBSqueeze: 25%->18%; DonchianBreakout: 25%->18%; KeltnerBreakout: 15%->10%; Ichimoku: 10%->7%; ParabolicSAR: 5%->3%; TrendEnsemble: 10%->7%; RORO: 10%->25% [CRISIS]; DonchianBreakout: 18%->14% [BEAR]; Ichimoku: 7%->6% [BEAR]; RORO: 25%->35%,0.189,0.152,0.114,0.061,0.03,0.076,0.379
2000-11-30,53.2,-0.468,0.0,0.468,232029.57,68.21,495611.66,-172.84,495543.45,0.88,500000.0,STRONG_BEAR,CRISIS,DECELERATING,OVERSOLD,SDC-S,-0.222,0,0.2,"No clear signal, momentum=-1.62",0,0.3,"Within channel, position=2.2%",-1,0.7,"Below Keltner lower=$54.08, ATR=$3.21",-1,0.8,"Below cloud, TK cross bearish, Tenkan=$57.30",-1,0.6,"Downtrend, SAR=$62.52, EP=$51.10",-1,1.0,"Trend DOWN, avg_signal=-1.00, agreement=1.00",0,1.0,"RISK-OFF, score=7/7, vol=58.0%",BBSqueeze: 25%->18%; DonchianBreakout: 25%->18%; KeltnerBreakout: 15%->10%; Ichimoku: 10%->7%; ParabolicSAR: 5%->3%; TrendEnsemble: 10%->7%; RORO: 10%->25% [CRISIS]; DonchianBreakout: 18%->14% [BEAR]; Ichimoku: 7%->6% [BEAR]; RORO: 25%->35%,0.189,0.152,0.114,0.061,0.03,0.076,0.379
2000-12-19,49.94,0.0,-0.419,-0.419,207452.1,62.26,495543.45,0.0,495481.19,0.89,500000.0,STRONG_BEAR,CRISIS,DECELERATING,OVERSOLD,SDC-S,-0.419,-1,0.71,"Breakout DOWN, momentum=-2.12",-1,0.56,Break below 20d low=$51.10,0,0.3,"Within Keltner channel, EMA=$57.19",-1,0.8,"Below cloud, TK cross bearish, Tenkan=$56.39",-1,0.6,"Downtrend, SAR=$62.75, EP=$49.62",-1,1.0,"Trend DOWN, avg_signal=-1.00, agreement=1.00",0,1.0,"RISK-OFF, score=7/7, vol=73.2%",BBSqueeze: 25%->18%; DonchianBreakout: 25%->18%; KeltnerBreakout: 15%->10%; Ichimoku: 10%->7%; ParabolicSAR: 5%->3%; TrendEnsemble: 10%->7%; RORO: 10%->25% [CRISIS]; DonchianBreakout: 18%->14% [BEAR]; Ichimoku: 7%->6% [BEAR]; RORO: 25%->35%,0.189,0.152,0.114,0.061,0.03,0.076,0.379
2000-12-21,47.35,-0.419,0.0,0.419,211882.32,64.75,506125.99,-1250.46,506061.24,0.25,507376.45,STRONG_BEAR,CRISIS,DECELERATING,NEUTRAL,SDC-N,-0.222,0,0.2,"No clear signal, momentum=-1.96",0,0.3,"Within channel, position=6.6%",-1,0.7,"Below Keltner lower=$47.61, ATR=$3.89",-1,0.8,"Below cloud, TK cross bearish, Tenkan=$54.49",-1,0.6,"Downtrend, SAR=$62.23, EP=$45.82",-1,1.0,"Trend DOWN, avg_signal=-1.00, agreement=1.00",0,1.0,"RISK-OFF, score=7/7, vol=74.4%",BBSqueeze: 25%->18%; DonchianBreakout: 25%->18%; KeltnerBreakout: 15%->10%; Ichimoku: 10%->7%; ParabolicSAR: 5%->3%; TrendEnsemble: 10%->7%; RORO: 10%->25% [CRISIS]; DonchianBreakout: 18%->14% [BEAR]; Ichimoku: 7%->6% [BEAR]; RORO: 25%->35%,0.189,0.152,0.114,0.061,0.03,0.076,0.379
2001-01-02,45.13,0.0,-0.475,-0.475,240308.08,74.68,506061.24,0.0,505986.55,0.26,507376.45,STRONG_BEAR,CRISIS,DECELERATING,OVERSOLD,SDC-S,-0.475,-1,0.6,"Breakout DOWN, momentum=-1.81",-1,0.52,Break below 20d low=$45.82,-1,0.7,"Below Keltner lower=$45.17, ATR=$3.85",-1,0.8,"Below cloud, TK cross bearish, Tenkan=$49.96",-1,0.6,"Downtrend, SAR=$52.31, EP=$44.29",-1,1.0,"Trend DOWN, avg_signal=-1.00, agreement=1.00",0,1.0,"RISK-OFF, score=7/7, vol=80.7%",BBSqueeze: 25%->18%; DonchianBreakout: 25%->18%; KeltnerBreakout: 15%->10%; Ichimoku: 10%->7%; ParabolicSAR: 5%->3%; TrendEnsemble: 10%->7%; RORO: 10%->25% [CRISIS]; DonchianBreakout: 18%->14% [BEAR]; Ichimoku: 7%->6% [BEAR]; RORO: 25%->35%,0.189,0.152,0.114,0.061,0.03,0.076,0.379
2001-01-03,52.74,-0.475,0.0,0.475,221056.52,65.17,465519.64,-40466.91,465454.47,8.25,507376.45,STRONG_BEAR,CRISIS,ACCELERATING,NEUTRAL,SDC+N,-0.027,0,0.2,"No clear signal, momentum=-0.20",0,0.3,"Within channel, position=44.8%",0,0.3,"Within Keltner channel, EMA=$52.86",0,0.2,"Inside cloud, range=$51.59-$59.14",1,0.6,"Uptrend, SAR=$44.05, EP=$55.11",-1,0.6,"Trend DOWN, avg_signal=-0.60, agreement=0.60",0,1.0,"RISK-OFF, score=7/7, vol=102.0%",BBSqueeze: 25%->18%; DonchianBreakout: 25%->18%; KeltnerBreakout: 15%->10%; Ichimoku: 10%->7%; ParabolicSAR: 5%->3%; TrendEnsemble: 10%->7%; RORO: 10%->25% [CRISIS]; DonchianBreakout: 18%->14% [BEAR]; Ichimoku: 7%->6% [BEAR]; RORO: 25%->35%,0.189,0.152,0.114,0.061,0.03,0.076,0.379
