strategy,sharpe,return,max_drawdown,num_trades,beats_academic
BBSqueeze,10.605733308893326,2.3788555502949684,-0.08019785341521442,933,True
DonchianBreakout,8.181356921670098,2.004862877312763,-0.0009431385351780706,1471,True
KeltnerBreakout,5.5515815200262315,1.1329957626005451,-0.0678472049040473,990,True
Ichimoku,5.001432275165328,1.6712114200711619,-0.20653639048197397,1411,True
ParabolicSAR,4.561642610376726,1.8119002077862176,-0.2749959600457253,1560,True
TrendEnsemble,3.8816896970408084,1.225271283113298,-0.1988792449592329,1508,False
RORO,3.137867066087425,0.7839451476942962,-0.1395743295339187,997,False
MACDTrend,2.4378219439260533,0.8600124696115905,-0.2933235162517612,1875,False
AdaptiveMomentum,1.7987609616788063,0.4502511593053049,-0.20750412262825385,415,False
SMA200,1.3382977126225544,0.23280536106873373,-0.13506074796835155,171,False
TSMOM,-0.1822377873656733,0.017235597923314527,-0.47019550708560315,26,False
VRP,-0.5901684654762993,-0.03240183168533084,-0.5997574781441513,9,False
BuyAndHold,-0.658128862769566,-0.03680206394253216,-0.7153822667940811,1,False
VolTargetAcademic,-0.8582743669894843,-0.014952864316898018,-0.4313019808075239,56,False
