strategy,f_statistic,p_value,significant,n_regimes
BuyAndHold,4.762357869196154,0.0007827743955266936,True,5
SMA200,2.3057072569862824,0.05595579703877713,False,5
GoldenCrossBaseline,10.202978630206744,3.2290433207004915e-08,True,5
GoldenCross,1.5899565780025675,0.17406877506162705,False,5
MACDTrend,1.0332829271376076,0.38843238284423987,False,5
ADXBreakout,4.044597031260649,0.002824638018117523,True,5
Ichimoku,0.3649455182783716,0.8337235435155101,False,5
ParabolicSAR,0.0774052546497486,0.9891803302885361,False,5
DonchianBreakout,6.293633791705443,4.799202505955526e-05,True,5
RSIReversal,1.5907401546395656,0.17386166139682757,False,5
BollingerBounce,0.7144574168636455,0.581944572872269,False,5
Stochastic,1.1734270347474434,0.320369848773521,False,5
WilliamsR,4.322146166033212,0.0017239234737678692,True,5
CCIReversal,4.405086618003845,0.0014864860935771226,True,5
ATRBreakout,4.347022442143063,0.001649028110936288,True,5
KeltnerBreakout,7.7536326180507205,3.2047718068708496e-06,True,5
VolTargeting,4.762357869196154,0.0007827743955266936,True,5
BBSqueeze,3.9511709214504926,0.0033327838401515627,True,5
OBVConfirmation,0.6855813410964144,0.6018730976546781,False,5
MFIReversal,3.667565078771654,0.005492091690449661,True,5
VWAPReversion,3.224716277070677,0.011870496352342465,True,5
Momentum12-1,0.9074444380337937,0.45853086766077666,False,5
AroonTrend,0.6963291980578544,0.5944172641019969,False,5
TRIXTrend,1.2188098657660484,0.30052652446226163,False,5
