date,close,rules_regime,threshold_regime,hybrid_regime
2015-01-02,94.78443908691406,TRANSITION,TRANSITION,TRANSITION
2015-01-05,93.39405059814453,TRANSITION,TRANSITION,TRANSITION
2015-01-06,92.14179992675781,TRANSITION,TRANSITION,TRANSITION
2015-01-07,93.32960510253906,TRANSITION,TRANSITION,TRANSITION
2015-01-08,95.11589050292969,TRANSITION,TRANSITION,TRANSITION
2015-01-09,94.48977661132812,TRANSITION,TRANSITION,TRANSITION
2015-01-12,93.5045394897461,TRANSITION,TRANSITION,TRANSITION
2015-01-13,93.47691345214844,TRANSITION,TRANSITION,TRANSITION
2015-01-14,92.96131134033203,TRANSITION,TRANSITION,TRANSITION
2015-01-15,91.75508880615234,TRANSITION,TRANSITION,TRANSITION
2015-01-16,92.8323974609375,TRANSITION,TRANSITION,TRANSITION
2015-01-20,93.56900787353516,TRANSITION,TRANSITION,TRANSITION
2015-01-21,94.04782104492188,TRANSITION,TRANSITION,TRANSITION
2015-01-22,95.78810119628906,TRANSITION,TRANSITION,TRANSITION
2015-01-23,95.99984741210938,TRANSITION,TRANSITION,TRANSITION
2015-01-26,95.88934326171875,TRANSITION,TRANSITION,TRANSITION
2015-01-27,93.4032974243164,TRANSITION,TRANSITION,TRANSITION
2015-01-28,92.92446899414062,TRANSITION,TRANSITION,TRANSITION
2015-01-29,93.81758117675781,TRANSITION,TRANSITION,TRANSITION
2015-01-30,93.09021759033203,TRANSITION,TRANSITION,TRANSITION
2015-02-02,93.90050506591797,TRANSITION,TRANSITION,TRANSITION
2015-02-03,94.80282592773438,TRANSITION,TRANSITION,TRANSITION
2015-02-04,94.7199935913086,TRANSITION,TRANSITION,TRANSITION
2015-02-05,95.53947448730469,TRANSITION,TRANSITION,TRANSITION
2015-02-06,94.95936584472656,TRANSITION,TRANSITION,TRANSITION
2015-02-09,94.65550994873047,TRANSITION,TRANSITION,TRANSITION
2015-02-10,96.12876892089844,TRANSITION,TRANSITION,TRANSITION
2015-02-11,96.47868347167969,TRANSITION,TRANSITION,TRANSITION
2015-02-12,97.60199737548828,TRANSITION,TRANSITION,TRANSITION
2015-02-13,98.43989562988281,TRANSITION,TRANSITION,TRANSITION
2015-02-17,98.53197479248047,TRANSITION,TRANSITION,TRANSITION
2015-02-18,98.67010498046875,TRANSITION,TRANSITION,TRANSITION
2015-02-19,99.15811157226562,TRANSITION,TRANSITION,TRANSITION
2015-02-20,99.82108306884766,TRANSITION,TRANSITION,TRANSITION
2015-02-23,99.92234802246094,TRANSITION,TRANSITION,TRANSITION
2015-02-24,99.99600219726562,TRANSITION,TRANSITION,TRANSITION
2015-02-25,99.74740600585938,TRANSITION,TRANSITION,TRANSITION
2015-02-26,100.2538070678711,TRANSITION,TRANSITION,TRANSITION
2015-02-27,99.8118667602539,TRANSITION,TRANSITION,TRANSITION
2015-03-02,100.71421813964844,TRANSITION,TRANSITION,TRANSITION
2015-03-03,100.24462127685547,TRANSITION,TRANSITION,TRANSITION
2015-03-04,99.85791778564453,TRANSITION,TRANSITION,TRANSITION
2015-03-05,100.0328598022461,TRANSITION,TRANSITION,TRANSITION
2015-03-06,98.90029907226562,TRANSITION,TRANSITION,TRANSITION
2015-03-09,99.18571472167969,TRANSITION,TRANSITION,TRANSITION
2015-03-10,97.34416961669922,TRANSITION,TRANSITION,TRANSITION
2015-03-11,96.78250885009766,TRANSITION,TRANSITION,TRANSITION
2015-03-12,97.4178695678711,TRANSITION,TRANSITION,TRANSITION
2015-03-13,96.99427795410156,TRANSITION,TRANSITION,TRANSITION
2015-03-16,98.24654388427734,TRANSITION,TRANSITION,TRANSITION
